level,points_net,points_total
2,1143,1143
3,1177,2320
4,2146,4466
5,3368,7834
6,4828,12662
7,6518,19180
8,8429,27609
9,10558,38167
10,12895,51062
11,15440,66502
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,99074,1199817
31,105200,1305017
32,111489,1416506
33,117940,1534446
34,124553,1658999
35,131324,1790323
36,138254,1928577
37,145344,2073921
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,242435,4322131
50,251505,4573636
,,
88,701239,22266548
89,715730,22982278
,,
100,,
,,
200,,
,,
263,5066186,477492567
264,5100979,482593546
,,
300,,
,,
310,6845000,756663990
,,
358,8833750,1132303074
359,8878277,1141181351
360,8922904,1150104255
361,8967631,1159071886
,,
400,,1544749728
,,
500,,2885400398
,,
600,,4807436329
,,
700,,7402263376
701,29647134,7431910510
